,latitude,longitude,price,beds,bath,square,year,Residential,Condominium
64,50.4494919,-104.59740470026794,125000,2.0,2.0,840,1958.0,1.0,0.0
65,50.4656199,-104.6553692,219900,3.0,3.0,1235,2013.0,0.0,1.0
66,50.46112615,-104.62714155,39900,2.0,1.0,892,1930.0,1.0,0.0
67,50.47195125,-104.63803949116416,174900,3.0,2.0,1200,1942.0,1.0,0.0
68,50.4521128,-104.52941334684012,268900,2.0,2.0,1141,2012.0,0.0,1.0
69,50.4337466,-104.58456948819128,1499900,4.0,4.0,2228,2021.0,1.0,0.0
70,50.44259225,-104.5586821,469900,5.0,4.0,1718,1982.0,1.0,0.0
71,50.4224016,-104.52670460889914,534900,3.0,3.0,1890,1992.0,1.0,0.0
72,50.4562551,-104.6250855852025,55000,2.0,1.0,630,1919.0,1.0,0.0
73,50.4461212,-104.59340807438356,119900,2.0,1.0,600,1927.0,1.0,0.0
74,50.401984,-104.6446087,469900,2.0,2.0,1425,2014.0,0.0,1.0
75,50.4469301,-104.623230598971,579900,6.0,4.0,3087,1911.0,1.0,0.0
76,50.47482705,-104.6908570487288,469900,4.0,3.0,1310,2010.0,1.0,0.0
77,50.46100605,-104.64153892553878,108000,3.0,2.0,1139,1949.0,1.0,0.0
78,50.460635100000005,-104.62280755648234,36000,2.0,1.0,631,1921.0,1.0,0.0
79,50.4934076,-104.65655075,364900,3.0,2.0,924,1975.0,1.0,0.0
80,50.41369615,-104.65918780271863,399900,3.0,3.0,1301,2013.0,1.0,0.0
81,50.4806968,-104.603455,674900,2.0,3.0,2042,1914.0,0.0,1.0
82,50.49321915,-104.62852170004248,419900,2.0,3.0,1323,1984.0,1.0,0.0
83,50.46531465,-104.62217978575708,99900,3.0,2.0,1092,1972.0,1.0,0.0
84,50.4611105,-104.5862195966376,364900,2.0,3.0,1204,2022.0,1.0,0.0
85,50.45969135,-104.6059221,319500,2.0,2.0,1395,1920.0,0.0,1.0
86,50.44144034999999,-104.56100061629178,589900,3.0,3.0,2691,1983.0,1.0,0.0
87,50.48182225,-104.61192882525,274900,4.0,2.0,1041,1965.0,1.0,0.0
88,50.405198850000005,-104.63197456296616,539900,4.0,4.0,1942,1972.0,1.0,0.0
89,50.4720055,-104.6478925862873,169900,2.0,1.0,890,1925.0,1.0,0.0
90,50.4495548,-104.56455599446126,269900,6.0,2.0,968,1987.0,1.0,0.0
91,50.4434361,-104.5704188,169900,3.0,2.0,792,1964.0,1.0,0.0
92,50.4108733,-104.599646,145000,3.0,2.0,1034,1973.0,0.0,1.0
93,50.4785818,-104.59884019613048,259900,3.0,1.0,810,1961.0,1.0,0.0
94,50.4596824,-104.62799401617087,189000,2.0,2.0,720,1946.0,1.0,0.0
95,50.5008036,-104.6146744,449900,2.0,2.0,1118,2020.0,1.0,0.0
96,50.4900439,-104.66774232377102,309900,3.0,2.0,1038,1979.0,1.0,0.0
97,50.4235611,-104.5163683,459900,3.0,3.0,1426,2021.0,1.0,0.0
98,50.4579407,-104.5419025,164900,3.0,2.0,1122,1976.0,0.0,1.0
99,50.46198745,-104.62142975638386,175000,3.0,1.0,965,2013.0,1.0,0.0
100,50.4583084,-104.5469377,179900,3.0,2.0,1065,1993.0,0.0,1.0
101,50.4420424,-104.583947225,229900,2.0,2.0,735,1950.0,1.0,0.0
102,50.41340655,-104.65674387724884,624900,3.0,4.0,1953,2013.0,1.0,0.0
103,50.41648975,-104.65334361856269,549000,3.0,3.0,1831,2013.0,1.0,0.0
104,50.4399374,-104.5925749596807,184000,3.0,2.0,1112,1957.0,1.0,0.0
105,50.4708531,-104.6383959,176000,3.0,1.0,998,1979.0,1.0,0.0
106,50.452153,-104.5674784,159900,2.0,1.0,656,1961.0,1.0,0.0
107,50.4144335,-104.5246161,989500,3.0,3.0,2457,2018.0,1.0,0.0
108,50.45071365,-104.5675096,239900,4.0,4.0,1593,1964.0,1.0,0.0
109,50.4314179,-104.5108068,369900,3.0,3.0,1428,2022.0,1.0,0.0
110,50.4490104,-104.59600268941858,154900,4.0,2.0,800,1954.0,1.0,0.0
111,50.47341715,-104.611969743851,277000,2.0,3.0,1236,1942.0,1.0,0.0
112,50.435608,-104.53325084003782,550000,4.0,4.0,1713,2005.0,1.0,0.0
113,50.481925,-104.64490476384977,269000,3.0,2.0,998,1963.0,1.0,0.0
114,50.44495125,-104.59050562818696,204900,3.0,1.0,1056,1959.0,1.0,0.0
115,50.4393104,-104.5865041,364900,3.0,2.0,1214,2022.0,1.0,0.0
116,50.4498368,-104.59942382280764,154900,3.0,2.0,940,1907.0,1.0,0.0
117,50.4310182,-104.62362103533232,259900,3.0,2.0,718,1927.0,1.0,0.0
118,50.46989615,-104.6308082385421,269999,4.0,2.0,1020,2010.0,1.0,0.0
119,50.46280955,-104.53711656841593,320000,3.0,2.0,965,1986.0,1.0,0.0
120,50.4351982,-104.5741182,338900,6.0,2.0,1040,1954.0,1.0,0.0
121,50.4708531,-104.6383959,176000,3.0,1.0,998,1979.0,1.0,0.0
122,50.44186345,-104.5736803474456,249900,5.0,2.0,1130,1957.0,1.0,0.0
123,50.4904272,-104.68313897555012,129900,3.0,2.0,1500,1978.0,1.0,0.0
124,50.46631815,-104.62859070278527,69900,2.0,1.0,560,1924.0,1.0,0.0
125,50.43578705,-104.56608148584948,399900,4.0,3.0,1176,1957.0,1.0,0.0
126,50.4636758,-104.6467027,409900,4.0,2.0,1720,2016.0,1.0,0.0
127,50.4735866,-104.62140915038478,259900,4.0,3.0,1248,1993.0,1.0,0.0
128,50.4334207,-104.52664046995218,424900,4.0,3.0,1281,2001.0,1.0,0.0
129,50.4964446,-104.5989874,99900,2.0,1.0,840,1980.0,0.0,1.0
130,50.4286668,-104.63295263765605,284900,3.0,2.0,960,1952.0,1.0,0.0
